"Date","Price","Open","High","Low","Change %"
"11/24/2023","5.055","4.980","5.063","4.980","1.42%"
"11/23/2023","4.984","4.983","5.043","4.968","0.32%"
"11/22/2023","4.968","4.958","4.983","4.947","0.20%"
"11/21/2023","4.958","4.975","4.998","4.958","-0.56%"
"11/20/2023","4.986","4.950","4.986","4.939","-0.23%"
"11/19/2023","4.997","4.987","4.997","4.984","1.10%"
"11/17/2023","4.943","5.045","5.045","4.913","-2.02%"
"11/16/2023","5.045","5.053","5.138","5.041","-0.06%"
"11/15/2023","5.048","5.200","5.215","5.038","-2.74%"
"11/14/2023","5.190","5.225","5.225","5.190","-0.67%"
"11/13/2023","5.225","5.178","5.225","5.174","0.14%"
"11/12/2023","5.218","5.221","5.221","5.218","0.84%"
"11/10/2023","5.174","5.073","5.188","5.073","1.99%"
"11/09/2023","5.073","5.168","5.175","5.065","-1.84%"
"11/08/2023","5.168","5.270","5.270","5.133","-1.94%"
"11/07/2023","5.270","5.240","5.285","5.240","0.57%"
"11/06/2023","5.240","5.308","5.308","5.235","-1.48%"
"11/05/2023","5.319","5.354","5.354","5.313","0.20%"
"11/03/2023","5.308","5.310","5.310","5.248","0.57%"
"11/02/2023","5.278","5.530","5.540","5.263","-4.38%"
"11/01/2023","5.520","5.583","5.597","5.520","-0.86%"
