PERMNO,date,ticker,divamt,prc,ret,retx,vwretd,vwretx
89468,2024-06-24,TLT,,94.34,0.004044,0.004044,-0.001136,-0.001252
89468,2024-06-25,TLT,,94.5,0.001696,0.001696,0.00232,0.002306
89468,2024-06-26,TLT,,93.15,-0.014286,-0.014286,0.000792,0.000759
89468,2024-06-27,TLT,,93.52,0.003972,0.003972,0.002005,0.001958
89468,2024-06-28,TLT,,91.78,-0.018606,-0.018606,-0.002679,-0.002922
89468,2024-07-01,TLT,0.2911,89.91,-0.017203,-0.020375,0.001195,0.001083
89468,2024-07-02,TLT,,90.61,0.007786,0.007786,0.005761,0.005755
89468,2024-07-03,TLT,,91.8,0.013133,0.013133,0.005245,0.005207
89468,2024-07-05,TLT,,92.56,0.008279,0.008279,0.004255,0.004139
89468,2024-07-08,TLT,,92.76,0.002161,0.002161,0.001143,0.001117
89468,2024-07-09,TLT,,92.35,-0.00442,-0.00442,-0.00021,-0.00023
89468,2024-07-10,TLT,,92.64,0.00314,0.00314,0.009825,0.009718
89468,2024-07-11,TLT,,93.54,0.009715,0.009715,-0.003314,-0.003351
89468,2024-07-12,TLT,,93.94,0.004276,0.004276,0.006245,0.006239
89468,2024-07-15,TLT,,92.86,-0.011497,-0.011497,0.003602,0.003521
89468,2024-07-16,TLT,,94.17,0.014107,0.014107,0.009,0.008997
89468,2024-07-17,TLT,,94.19,0.000212,0.000212,-0.01357,-0.01358
89468,2024-07-18,TLT,,93.47,-0.007644,-0.007644,-0.008876,-0.008879
89468,2024-07-19,TLT,,92.92,-0.005884,-0.005884,-0.006319,-0.006365
89468,2024-07-22,TLT,,92.65,-0.002906,-0.002906,0.010687,0.01065
89468,2024-07-23,TLT,,92.52,-0.001403,-0.001403,-0.000684,-0.00069
89468,2024-07-24,TLT,,91.52,-0.010808,-0.010808,-0.021922,-0.021935
89468,2024-07-25,TLT,,92.27,0.008195,0.008195,-0.003251,-0.003279
89468,2024-07-26,TLT,,92.99,0.007803,0.007803,0.01132,0.011268
89468,2024-07-29,TLT,,93.49,0.005377,0.005377,-0.000395,-0.000409
89468,2024-07-30,TLT,,93.85,0.003851,0.003851,-0.004022,-0.004038
89468,2024-07-31,TLT,,94.81,0.010229,0.010229,0.014456,0.014368
89468,2024-08-01,TLT,0.31486,95.31,0.008595,0.005274,-0.015412,-0.015522
89468,2024-08-02,TLT,,98.28,0.031161,0.031161,-0.019843,-0.019856
89468,2024-08-05,TLT,,98.8,0.005291,0.005291,-0.028567,-0.028607
89468,2024-08-06,TLT,,96.59,-0.022368,-0.022368,0.010137,0.010121
89468,2024-08-07,TLT,,95.91,-0.00704,-0.00704,-0.007394,-0.00743
89468,2024-08-08,TLT,,95.32,-0.006152,-0.006152,0.02278,0.022766
89468,2024-08-09,TLT,,96.26,0.009862,0.009862,0.004177,0.004044
89468,2024-08-12,TLT,,96.61,0.003636,0.003636,-0.000792,-0.000906
89468,2024-08-13,TLT,,97.28,0.006935,0.006935,0.016082,0.01607
89468,2024-08-14,TLT,,97.89,0.006271,0.006271,0.003297,0.003271
89468,2024-08-15,TLT,,97.1,-0.00807,-0.00807,0.016628,0.01638
89468,2024-08-16,TLT,,97.44,0.003502,0.003502,0.002499,0.002371
89468,2024-08-19,TLT,,97.89,0.004618,0.004618,0.009676,0.009575
89468,2024-08-20,TLT,,98.67,0.007968,0.007968,-0.002907,-0.002935
89468,2024-08-21,TLT,,98.73,0.000608,0.000608,0.005503,0.005455
89468,2024-08-22,TLT,,97.75,-0.009926,-0.009926,-0.008631,-0.008649
89468,2024-08-23,TLT,,98.39,0.006547,0.006547,0.0134,0.013378
89468,2024-08-26,TLT,,98.14,-0.002541,-0.002541,-0.002737,-0.002756
89468,2024-08-27,TLT,,97.97,-0.001732,-0.001732,0.000819,0.000759
89468,2024-08-28,TLT,,97.85,-0.001225,-0.001225,-0.006305,-0.006316
89468,2024-08-29,TLT,,97.53,-0.00327,-0.00327,0.001292,0.001251
89468,2024-08-30,TLT,,96.49,-0.010663,-0.010663,0.009298,0.009154
89468,2024-09-03,TLT,0.31278,97.75,0.0163,0.013058,-0.021166,-0.021326
89468,2024-09-04,TLT,,99.01,0.01289,0.01289,-0.001598,-0.001641
89468,2024-09-05,TLT,,99.57,0.005656,0.005656,-0.002862,-0.002893
89468,2024-09-06,TLT,,99.56,-0.0001,-0.0001,-0.016697,-0.016799
89468,2024-09-09,TLT,,99.99,0.004319,0.004319,0.010589,0.010511
89468,2024-09-10,TLT,,100.69,0.007001,0.007001,0.003585,0.003553
89468,2024-09-11,TLT,,100.61,-0.000795,-0.000795,0.009761,0.009745
89468,2024-09-12,TLT,,100.14,-0.004672,-0.004672,0.008023,0.008004
89468,2024-09-13,TLT,,100.41,0.002696,0.002696,0.00721,0.007031
89468,2024-09-16,TLT,,101.33,0.009162,0.009162,0.002261,0.002084
89468,2024-09-17,TLT,,100.84,-0.004836,-0.004836,0.000636,0.000611
89468,2024-09-18,TLT,,99.59,-0.012396,-0.012396,-0.002449,-0.002463
89468,2024-09-19,TLT,,99.26,-0.003314,-0.003314,0.016849,0.016805
89468,2024-09-20,TLT,,98.88,-0.003828,-0.003828,-0.002509,-0.002585
89468,2024-09-23,TLT,,98.67,-0.002124,-0.002124,0.002728,0.002668
89468,2024-09-24,TLT,,98.65,-0.000203,-0.000203,0.003021,0.003008
89468,2024-09-25,TLT,,97.83,-0.008312,-0.008312,-0.003168,-0.003278
89468,2024-09-26,TLT,,98.06,0.002351,0.002351,0.004793,0.00472
89468,2024-09-27,TLT,,98.57,0.005201,0.005201,-0.000638,-0.000758
89468,2024-09-30,TLT,,98.1,-0.004768,-0.004768,0.003106,0.002989
89468,2024-10-01,TLT,0.31576,98.49,0.007194,0.003976,-0.008476,-0.00858
89468,2024-10-02,TLT,,97.66,-0.008427,-0.008427,0.000172,0.000115
89468,2024-10-03,TLT,,96.74,-0.00942,-0.00942,-0.002574,-0.002579
89468,2024-10-04,TLT,,95.55,-0.012301,-0.012301,0.00949,0.009344
89468,2024-10-07,TLT,,94.83,-0.007535,-0.007535,-0.008913,-0.008923
89468,2024-10-08,TLT,,94.99,0.001687,0.001687,0.007437,0.007431
89468,2024-10-09,TLT,,94.45,-0.005685,-0.005685,0.00642,0.006396
89468,2024-10-10,TLT,,94.08,-0.003917,-0.003917,-0.00171,-0.001839
89468,2024-10-11,TLT,,93.7,-0.004039,-0.004039,0.007488,0.007473
89468,2024-10-14,TLT,,93.765,0.000694,0.000694,0.006791,0.006791
89468,2024-10-15,TLT,,94.91,0.012211,0.012211,-0.00667,-0.006739
89468,2024-10-16,TLT,,95.31,0.004214,0.004214,0.005568,0.005557
89468,2024-10-17,TLT,,93.8,-0.015843,-0.015843,-0.000195,-0.000206
89468,2024-10-18,TLT,,93.87,0.000746,0.000746,0.003934,0.00389
89468,2024-10-21,TLT,,92.23,-0.017471,-0.017471,-0.00356,-0.003593
89468,2024-10-22,TLT,,92.32,0.000976,0.000976,-0.000953,-0.000959
89468,2024-10-23,TLT,,92.07,-0.002708,-0.002708,-0.008643,-0.008658
89468,2024-10-24,TLT,,92.66,0.006408,0.006408,0.002615,0.00259
89468,2024-10-25,TLT,,92.14,-0.005612,-0.005612,-0.001133,-0.001141
89468,2024-10-28,TLT,,91.89,-0.002713,-0.002713,0.004072,0.004058
89468,2024-10-29,TLT,,92.03,0.001524,0.001524,0.001117,0.001114
89468,2024-10-30,TLT,,92.3,0.002934,0.002934,-0.003113,-0.00313
89468,2024-10-31,TLT,,92.45,0.001625,0.001625,-0.017028,-0.017114
89468,2024-11-01,TLT,0.31054,90.84,-0.014056,-0.017415,0.003685,0.00357
89468,2024-11-04,TLT,,92.25,0.015522,0.015522,-0.001724,-0.001772
89468,2024-11-05,TLT,,92.74,0.005312,0.005312,0.012631,0.012615
89468,2024-11-06,TLT,,90.2,-0.027388,-0.027388,0.025795,0.025783
89468,2024-11-07,TLT,,91.33,0.012528,0.012528,0.007115,0.007085
89468,2024-11-08,TLT,,92.49,0.012701,0.012701,0.003842,0.003653
89468,2024-11-11,TLT,,92.04,-0.004865,-0.004865,0.00315,0.00315
89468,2024-11-12,TLT,,90.66,-0.014993,-0.014993,-0.004204,-0.004259
89468,2024-11-13,TLT,,89.8,-0.009486,-0.009486,-0.000771,-0.000809
89468,2024-11-14,TLT,,90.32,0.005791,0.005791,-0.006546,-0.006636
89468,2024-11-15,TLT,,90.08,-0.002657,-0.002657,-0.01227,-0.012429
89468,2024-11-18,TLT,,90.24,0.001776,0.001776,0.004452,0.004292
89468,2024-11-19,TLT,,90.7,0.005098,0.005098,0.004707,0.004694
89468,2024-11-20,TLT,,90.41,-0.003197,-0.003197,0.000581,0.000551
89468,2024-11-21,TLT,,90.34,-0.000774,-0.000774,0.00716,0.007039
89468,2024-11-22,TLT,,90.39,0.000553,0.000553,0.005529,0.005491
89468,2024-11-25,TLT,,92.73,0.025888,0.025888,0.004285,0.004274
89468,2024-11-26,TLT,,92.37,-0.003882,-0.003882,0.003277,0.003226
89468,2024-11-27,TLT,,93.01,0.006929,0.006929,-0.002676,-0.002735
89468,2024-11-29,TLT,,93.97,0.010321,0.010321,0.005464,0.00536
89468,2024-12-02,TLT,0.32502,93.87,0.002395,-0.001064,0.001573,0.001395
89468,2024-12-03,TLT,,93.06,-0.008629,-0.008629,0.000242,0.00021
89468,2024-12-04,TLT,,94.06,0.010746,0.010746,0.006358,0.006336
89468,2024-12-05,TLT,,94.25,0.00202,0.00202,-0.002458,-0.00251
89468,2024-12-06,TLT,,94.39,0.001485,0.001485,0.003013,0.002921
89468,2024-12-09,TLT,,93.52,-0.009217,-0.009217,-0.006671,-0.006779
89468,2024-12-10,TLT,,93.08,-0.004705,-0.004705,-0.003941,-0.003963
89468,2024-12-11,TLT,,92.2,-0.009454,-0.009454,0.008102,0.008064
89468,2024-12-12,TLT,,91.08,-0.012147,-0.012147,-0.00618,-0.006195
